Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Insurgent Teen,7/6/2023 23:01,0:00:11,Autoplayed: user action: None; ,Cliffhanger Clip: Cash,HOOK,Netflix Windows App - Cadmium Windows Mobile,0:00:11,0:00:11,KE (Kenya)
Insurgent Teen,7/6/2023 21:29,1:31:06,,Gold Brick,,Netflix Windows App - Cadmium Windows Mobile,1:29:20,1:29:20,KE (Kenya)
Insurgent Teen,7/6/2023 21:29,0:00:28,Autoplayed: user action: None; ,Cliffhanger Clip: Cash,HOOK,Netflix Windows App - Cadmium Windows Mobile,0:00:28,Not latest view,KE (Kenya)
Insurgent Teen,7/6/2023 20:43,0:14:47,,The Lincoln Lawyer: Season 2: Conflicts (Episode 3),,Netflix Windows App - Cadmium Windows Mobile,0:18:00,0:18:00,KE (Kenya)
Insurgent Teen,7/6/2023 15:53,0:02:06,,The Lincoln Lawyer: Season 2: Conflicts (Episode 3),,Netflix Windows App - Cadmium Windows Mobile,0:03:13,Not latest view,KE (Kenya)
Insurgent Teen,7/6/2023 14:45,0:37:14,,The Lincoln Lawyer: Season 2: Obligations (Episode 2),,Netflix Windows App - Cadmium Windows Mobile,0:46:13,0:46:13,KE (Kenya)
Insurgent Teen,7/6/2023 13:29,0:08:58,,The Lincoln Lawyer: Season 2: Obligations (Episode 2),,Netflix Windows App - Cadmium Windows Mobile,0:10:23,Not latest view,KE (Kenya)
Insurgent Teen,7/6/2023 12:40,0:48:34,,The Lincoln Lawyer: Season 2: The Rules of Professional Conduct (Episode 1),,Netflix Windows App - Cadmium Windows Mobile,0:47:57,0:47:57,KE (Kenya)
Insurgent Teen,7/6/2023 12:15,0:00:17,,Women of the Night: Season 1: The Smallest of Sins (Episode 2),,Netflix Windows App - Cadmium Windows Mobile,0:00:17,0:00:17,KE (Kenya)
Insurgent Teen,7/6/2023 11:54,0:21:09,,Women of the Night: Season 1: The Cage Door Opens (Episode 1),,Netflix Windows App - Cadmium Windows Mobile,0:44:42,0:44:42,KE (Kenya)
Insurgent Teen,7/6/2023 8:52,0:01:32,Autoplayed: user action: None; ,Season 2 Main Character Intro Clip: The Lincoln Lawyer,HOOK,Netflix Windows App - Cadmium Windows Mobile,0:00:00,0:00:00,KE (Kenya)
Insurgent Teen,7/6/2023 8:21,0:00:46,,The Lincoln Lawyer: Season 2: The Rules of Professional Conduct (Episode 1),,Netflix Windows App - Cadmium Windows Mobile,0:00:46,Not latest view,KE (Kenya)
